vus,p99,p95,avg,reqs,fails
2,3100.21692598,2590.0461218999994,663.0921559333332,15,1
2,567.18838775,431.9648670499999,264.21096060526315,38,0
3,961.2253885399999,808.2100008999998,390.3446657179488,39,0
3,500.52837642,497.46745015,304.93419589999996,50,0
4,1125.84072329,832.9770340499996,528.3786373421053,38,0
4,2694.9076286,2694.105803,1292.968354875,16,0
4,1436.17583856,1300.14055,663.1138145454547,33,0
