vus,p99,p95,avg,reqs,fails
2,1942.50686456,1814.8852107999999,676.1162683529411,17,0
2,1046.9973474399999,512.7270669999999,245.69481493333333,45,0
3,2885.0821979199995,1720.2435425999995,786.66446532,25,0
3,1238.35346216,1096.2105755999999,337.63242699999995,49,12
3,2486.967047,1631.382630999999,462.80371754054056,37,1
