vus,p99,p95,avg,reqs,fails
11,495.2651922,324.563375,91.71405683812418,661,0
11,427.7282569599996,207.16242519999972,82.17486360232223,689,0
12,391.32911699999994,265.765667,85.906234259362,721,0
13,500.69460976,287.20763299999993,92.15997329903975,729,0
14,613.89993708,431.30085019999876,124.26720601039861,577,0
14,409.58919592,280.13608379999977,94.35403618918923,777,0
15,677.99071028,519.6547084,125.74427409886538,617,0
15,610.61698552,480.44505039999973,122.0719033974561,629,0
15,706.64219492,483.9793833999998,130.08091507040004,625,0
