vus,p99,p95,avg,reqs,fails
11,498.10087147999997,292.5854921999999,85.99851199695581,657,0
12,324.57616399999995,215.44014979999997,80.66214884265278,769,0
13,502.52438515999995,315.17971679999994,95.90026367503485,717,0
13,414.03466808,298.73213339999995,89.05622732446128,789,0
14,486.97717184,382.4857004,103.46800053671559,749,0
14,504.69152035999997,306.6690081999997,97.99288636634998,737,0
14,471.76052043999994,319.44679199999996,99.10626451159605,733,0
